##COMMENT_START##
训练集比例增大
使用的数据为：F2 F3 F5 F6 F9
前后两次 w 的差距：1e-6
噪声模式为：[测试保存]噪声比例：0.2 => 0.9 (步长0.05)
随机划分数据集次数：100
随机生成噪声次数：100
##COMMENT_END##
train_ratio,tls_rmse,em_rmse
0.2,0.3876467639270337,0.19867801324210893
0.25,0.3490801368178834,0.17945301032886535
0.3,0.2929356873686641,0.15773748683812966
0.35,0.2561889404502434,0.14975912295745547
0.4,0.25366105161447383,0.1464498630344859
0.45,0.21867789591936665,0.13951489954822716
0.5,0.21878395407547196,0.1390783838671
0.55,0.207509891097104,0.1363065287744576
0.6,0.18248199795320802,0.13033812007622733
0.65,0.17476602819870285,0.12836308766441845
0.7,0.17350623473424187,0.12941284905072165
0.75,0.17073918767523058,0.1282258634764192
0.8,0.17144587543209344,0.12825218670420238
0.85,0.16180962212532388,0.1261821833333604
0.9,0.14725045391530728,0.1200409820328712
